BAC009S0005w0001	0530_01_1
BAC009S0005w0085	0530_02_33
BAC009S0005w0086	0530_02_34
BAC009S0005w0087	0530_02_35
BAC009S0005w0088	0530_02_36
BAC009S0005w0089	0530_02_37
BAC009S0005w0090	0530_02_38
BAC009S0005w0091	0530_02_39
BAC009S0005w0092	0530_02_4
BAC009S0005w0093	0530_02_40
BAC009S0005w0094	0530_02_41
BAC009S0005w0095	0530_02_42
BAC009S0005w0096	0530_02_43
BAC009S0005w0097	0530_02_44
BAC009S0005w0098	0530_02_45
BAC009S0005w0099	0530_02_46
BAC009S0005w0100	0530_02_47
BAC009S0005w0101	0530_02_48
BAC009S0005w0102	0530_02_49
BAC009S0005w0103	0530_02_5
BAC009S0005w0104	0530_02_6
BAC009S0005w0105	0530_02_7
BAC009S0005w0106	0530_02_8
BAC009S0005w0107	0530_02_9
BAC009S0005w0108	0530_03_1
BAC009S0005w0109	0530_03_10
BAC009S0005w0110	0530_03_11
BAC009S0005w0111	0530_03_12
BAC009S0005w0112	0530_03_13
BAC009S0005w0113	0530_03_14
BAC009S0005w0114	0530_03_15
BAC009S0005w0115	0530_03_16
BAC009S0005w0116	0530_03_17
BAC009S0005w0117	0530_03_18
BAC009S0005w0118	0530_03_19
BAC009S0005w0119	0530_03_2
BAC009S0005w0120	0530_03_20
BAC009S0005w0121	0530_03_21
BAC009S0005w0122	0530_03_22
BAC009S0005w0123	0530_03_23
BAC009S0005w0124	0530_03_24
BAC009S0005w0125	0530_03_25
BAC009S0005w0126	0530_03_26
BAC009S0005w0127	0530_03_27
BAC009S0005w0128	0530_03_28
BAC009S0005w0129	0530_03_29
BAC009S0005w0130	0530_03_3
BAC009S0005w0131	0530_03_30
BAC009S0005w0132	0530_03_31
BAC009S0005w0133	0530_03_32
BAC009S0005w0134	0530_03_33
BAC009S0005w0135	0530_03_34
BAC009S0005w0136	0530_03_35
BAC009S0005w0137	0530_03_36
BAC009S0005w0138	0530_03_37
BAC009S0005w0139	0530_03_38
BAC009S0005w0140	0530_03_39
BAC009S0005w0141	0530_03_4
BAC009S0005w0142	0530_03_40
BAC009S0005w0143	0530_03_5
BAC009S0005w0144	0530_03_6
BAC009S0005w0145	0530_03_7
BAC009S0005w0146	0530_03_8
BAC009S0005w0147	0530_03_9
BAC009S0005w0148	0530_04_1
BAC009S0005w0149	0530_04_10
BAC009S0005w0150	0530_04_11
BAC009S0005w0151	0530_04_12
BAC009S0005w0152	0530_04_13
BAC009S0005w0153	0530_04_14
BAC009S0005w0154	0530_04_15
BAC009S0005w0155	0530_04_16
BAC009S0005w0156	0530_04_17
BAC009S0005w0157	0530_04_18
BAC009S0005w0158	0530_04_19
BAC009S0005w0159	0530_04_2
BAC009S0005w0160	0530_04_20
BAC009S0005w0161	0530_04_21
BAC009S0005w0162	0530_04_22
BAC009S0005w0163	0530_04_23
BAC009S0005w0164	0530_04_24
BAC009S0005w0165	0530_04_25
BAC009S0005w0166	0530_04_26
BAC009S0005w0167	0530_04_27
BAC009S0005w0168	0530_04_28
BAC009S0005w0169	0530_04_29
BAC009S0005w0170	0530_04_3
BAC009S0005w0171	0530_04_30
BAC009S0005w0172	0530_04_31
BAC009S0005w0173	0530_04_32
BAC009S0005w0174	0530_04_33
BAC009S0005w0175	0530_04_4
BAC009S0005w0176	0530_04_5
BAC009S0005w0177	0530_04_6
BAC009S0005w0178	0530_04_7
BAC009S0005w0179	0530_04_8
BAC009S0005w0180	0530_04_9
BAC009S0005w0181	0530_05_1
BAC009S0005w0182	0530_05_10
BAC009S0005w0183	0530_05_11
BAC009S0005w0184	0530_05_12
BAC009S0005w0185	0530_05_13
BAC009S0005w0186	0530_05_14
BAC009S0005w0187	0530_05_2
BAC009S0005w0188	0530_05_3
BAC009S0005w0189	0530_05_4
BAC009S0005w0190	0530_05_5
BAC009S0005w0191	0530_05_6
BAC009S0005w0192	0530_05_7
BAC009S0005w0193	0530_05_8
BAC009S0005w0194	0530_05_9
BAC009S0005w0195	0530_06_1
BAC009S0005w0196	0530_06_2
BAC009S0005w0197	0530_06_3
BAC009S0005w0198	0530_06_4
BAC009S0005w0199	0530_06_5
BAC009S0005w0200	0530_06_6
BAC009S0005w0201	0530_06_7
BAC009S0005w0202	0530_07_1
BAC009S0005w0203	0530_07_10
BAC009S0005w0204	0530_07_11
BAC009S0005w0205	0530_07_12
BAC009S0005w0206	0530_07_13
BAC009S0005w0207	0530_07_14
BAC009S0005w0208	0530_07_15
BAC009S0005w0209	0530_07_16
BAC009S0005w0210	0530_07_17
BAC009S0005w0211	0530_07_18
BAC009S0005w0212	0530_07_19
BAC009S0005w0213	0530_07_2
BAC009S0005w0214	0530_07_3
BAC009S0005w0215	0530_07_4
BAC009S0005w0216	0530_07_5
BAC009S0005w0217	0530_07_6
BAC009S0005w0218	0530_07_7
BAC009S0005w0219	0530_07_8
BAC009S0005w0220	0530_07_9
BAC009S0005w0221	0530_08_1
BAC009S0005w0222	0530_08_2
BAC009S0005w0223	0530_08_3
BAC009S0005w0224	0530_08_4
BAC009S0005w0225	0530_08_5
BAC009S0005w0226	0530_08_6
BAC009S0005w0227	0530_08_7
BAC009S0005w0228	0530_09_1
BAC009S0005w0229	0530_09_10
BAC009S0005w0230	0530_09_11
BAC009S0005w0231	0530_09_12
BAC009S0005w0232	0530_09_13
BAC009S0005w0233	0530_09_14
BAC009S0005w0234	0530_09_2
BAC009S0005w0235	0530_09_3
BAC009S0005w0236	0530_09_4
BAC009S0005w0237	0530_09_5
BAC009S0005w0238	0530_09_6
BAC009S0005w0239	0530_09_7
BAC009S0005w0240	0530_09_8
BAC009S0005w0241	0530_09_9
BAC009S0005w0242	0530_10_1
BAC009S0005w0243	0530_10_10
BAC009S0005w0244	0530_10_11
BAC009S0005w0245	0530_10_12
BAC009S0005w0246	0530_10_13
BAC009S0005w0247	0530_10_14
BAC009S0005w0248	0530_10_2
BAC009S0005w0249	0530_10_3
BAC009S0005w0250	0530_10_4
BAC009S0005w0251	0530_10_5
BAC009S0005w0252	0530_10_6
BAC009S0005w0253	0530_10_7
BAC009S0005w0254	0530_10_8
BAC009S0005w0255	0530_10_9
BAC009S0005w0256	0530_11_1
BAC009S0005w0257	0530_11_10
BAC009S0005w0258	0530_11_11
BAC009S0005w0259	0530_11_12
BAC009S0005w0260	0530_11_13
BAC009S0005w0261	0530_11_14
BAC009S0005w0262	0530_11_15
BAC009S0005w0263	0530_11_16
BAC009S0005w0264	0530_11_17
BAC009S0005w0265	0530_11_18
BAC009S0005w0266	0530_11_19
BAC009S0005w0267	0530_11_2
BAC009S0005w0268	0530_11_20
BAC009S0005w0269	0530_11_21
BAC009S0005w0270	0530_11_22
BAC009S0005w0271	0530_11_23
BAC009S0005w0272	0530_11_24
BAC009S0005w0273	0530_11_3
BAC009S0005w0274	0530_11_4
BAC009S0005w0275	0530_11_5
BAC009S0005w0276	0530_11_6
BAC009S0005w0277	0530_11_7
BAC009S0005w0278	0530_11_8
BAC009S0005w0279	0530_11_9
BAC009S0005w0280	0530_12_1
BAC009S0005w0281	0530_12_10
BAC009S0005w0282	0530_12_11
BAC009S0005w0283	0530_12_12
BAC009S0005w0284	0530_12_13
BAC009S0005w0285	0530_12_14
BAC009S0005w0286	0530_12_2
BAC009S0005w0287	0530_12_3
BAC009S0005w0288	0530_12_4
BAC009S0005w0289	0530_12_5
BAC009S0005w0290	0530_12_6
BAC009S0005w0291	0530_12_7
BAC009S0005w0292	0530_12_8
BAC009S0005w0293	0530_12_9
BAC009S0005w0294	0530_13_1
BAC009S0005w0295	0530_13_10
BAC009S0005w0296	0530_13_11
BAC009S0005w0297	0530_13_2
BAC009S0005w0298	0530_13_3
BAC009S0005w0299	0530_13_4
BAC009S0005w0300	0530_13_5
BAC009S0005w0301	0530_13_6
BAC009S0005w0302	0530_13_7
BAC009S0005w0303	0530_13_8
BAC009S0005w0304	0530_13_9
BAC009S0005w0305	0530_14_1
BAC009S0005w0306	0530_14_2
BAC009S0005w0307	0530_14_3
BAC009S0005w0308	0530_14_4
BAC009S0005w0309	0530_14_5
BAC009S0005w0310	0530_14_6
BAC009S0005w0311	0530_14_7
BAC009S0005w0312	0530_14_8
BAC009S0005w0313	0530_15_1
BAC009S0005w0314	0530_15_10
BAC009S0005w0315	0530_15_11
BAC009S0005w0316	0530_15_12
BAC009S0005w0317	0530_15_13
BAC009S0005w0318	0530_15_14
BAC009S0005w0319	0530_15_15
BAC009S0005w0320	0530_15_16
BAC009S0005w0321	0530_15_17
BAC009S0005w0322	0530_15_18
BAC009S0005w0323	0530_15_2
BAC009S0005w0324	0530_15_3
BAC009S0005w0325	0530_15_4
BAC009S0005w0326	0530_15_5
BAC009S0005w0327	0530_15_6
BAC009S0005w0328	0530_15_7
BAC009S0005w0329	0530_15_8
BAC009S0005w0330	0530_15_9
BAC009S0005w0331	0530_16_1
BAC009S0005w0332	0530_16_10
BAC009S0005w0333	0530_16_11
BAC009S0005w0334	0530_16_12
BAC009S0005w0335	0530_16_2
BAC009S0005w0336	0530_16_3
BAC009S0005w0337	0530_16_4
BAC009S0005w0338	0530_16_5
BAC009S0005w0339	0530_16_6
BAC009S0005w0340	0530_16_7
BAC009S0005w0341	0530_16_8
BAC009S0005w0342	0530_16_9
BAC009S0005w0343	0530_17_1
BAC009S0005w0344	0530_17_2
BAC009S0005w0345	0530_17_3
BAC009S0005w0346	0530_17_4
BAC009S0005w0347	0530_17_5
BAC009S0005w0348	0530_17_6
BAC009S0005w0349	0530_17_7
BAC009S0005w0350	0530_17_8
BAC009S0005w0351	0530_17_9
BAC009S0005w0352	0530_18_1
BAC009S0005w0353	0530_18_2
BAC009S0005w0354	0530_18_3
BAC009S0005w0355	0530_18_4
BAC009S0005w0356	0530_18_5
BAC009S0005w0357	0530_18_6
BAC009S0005w0358	0530_18_7
BAC009S0005w0359	0530_18_8
BAC009S0005w0360	0530_18_9
BAC009S0005w0361	0530_19_1
BAC009S0005w0362	0530_19_10
BAC009S0005w0363	0530_19_11
BAC009S0005w0364	0530_19_2
BAC009S0005w0365	0530_19_3
BAC009S0005w0366	0530_19_4
BAC009S0005w0367	0530_19_5
BAC009S0005w0368	0530_19_6
BAC009S0005w0369	0530_19_7
BAC009S0005w0370	0530_19_8
BAC009S0005w0371	0530_19_9
BAC009S0005w0372	0530_20_1
BAC009S0005w0373	0530_20_10
BAC009S0005w0374	0530_20_11
BAC009S0005w0375	0530_20_2
BAC009S0005w0376	0530_20_3
BAC009S0005w0377	0530_20_4
BAC009S0005w0378	0530_20_5
BAC009S0005w0379	0530_20_6
BAC009S0005w0380	0530_20_7
BAC009S0005w0381	0530_20_8
BAC009S0005w0382	0530_20_9
BAC009S0005w0383	0703_14_1
BAC009S0005w0384	0703_14_10
BAC009S0005w0385	0703_14_2
BAC009S0005w0386	0703_14_3
BAC009S0005w0387	0703_14_4
BAC009S0005w0388	0703_14_5
BAC009S0005w0389	0703_14_6
BAC009S0005w0390	0703_14_7
BAC009S0005w0391	0703_14_8
BAC009S0005w0392	0703_14_9
BAC009S0005w0393	0703_15_1
BAC009S0005w0394	0703_15_2
BAC009S0005w0395	0703_15_3
BAC009S0005w0396	0703_15_4
BAC009S0005w0397	0703_15_5
BAC009S0005w0398	0703_15_6
BAC009S0005w0399	0703_15_7
BAC009S0005w0400	0703_15_8
BAC009S0005w0401	0703_15_9
BAC009S0005w0402	0703_16_1
BAC009S0005w0403	0703_16_2
BAC009S0005w0404	0703_16_3
BAC009S0005w0405	0703_16_4
BAC009S0005w0406	0703_16_5
BAC009S0005w0407	0703_16_6
BAC009S0005w0408	0703_16_7
BAC009S0005w0409	0703_17_1
BAC009S0005w0410	0703_17_10
BAC009S0005w0411	0703_17_11
BAC009S0005w0412	0703_17_12
BAC009S0005w0413	0703_17_13
BAC009S0005w0414	0703_17_14
BAC009S0005w0415	0703_17_15
BAC009S0005w0416	0703_17_16
BAC009S0005w0417	0703_17_17
BAC009S0005w0418	0703_17_18
BAC009S0005w0419	0703_17_2
BAC009S0005w0420	0703_17_3
BAC009S0005w0421	0703_17_4
BAC009S0005w0422	0703_17_5
BAC009S0005w0423	0703_17_6
BAC009S0005w0424	0703_17_7
BAC009S0005w0425	0703_17_8
BAC009S0005w0426	0703_17_9
BAC009S0005w0427	0703_18_1
BAC009S0005w0428	0703_18_10
BAC009S0005w0429	0703_18_11
BAC009S0005w0430	0703_18_12
BAC009S0005w0431	0703_18_13
BAC009S0005w0432	0703_18_14
BAC009S0005w0433	0703_18_15
BAC009S0005w0434	0703_18_16
BAC009S0005w0435	0703_18_17
BAC009S0005w0436	0703_18_18
BAC009S0005w0437	0703_18_19
BAC009S0005w0438	0703_18_2
BAC009S0005w0439	0703_18_3
BAC009S0005w0440	0703_18_4
BAC009S0005w0441	0703_18_5
BAC009S0005w0442	0703_18_6
BAC009S0005w0443	0703_18_7
BAC009S0005w0444	0703_18_8
BAC009S0005w0445	0703_18_9
BAC009S0005w0446	0703_19_1
BAC009S0005w0447	0703_19_2
BAC009S0005w0448	0703_19_3
BAC009S0005w0449	0703_20_1
BAC009S0005w0450	0703_20_10
BAC009S0005w0451	0703_20_11
BAC009S0005w0452	0703_20_12
BAC009S0005w0453	0703_20_13
BAC009S0005w0454	0703_20_14
BAC009S0005w0455	0703_20_15
BAC009S0005w0456	0703_20_16
BAC009S0005w0457	0703_20_2
BAC009S0005w0458	0703_20_3
BAC009S0005w0459	0703_20_4
BAC009S0005w0460	0703_20_5
BAC009S0005w0461	0703_20_6
BAC009S0005w0462	0703_20_7
BAC009S0005w0463	0703_20_8
BAC009S0005w0464	0703_20_9
BAC009S0005w0465	0703_21_1
BAC009S0005w0466	0703_21_10
BAC009S0005w0467	0703_21_11
BAC009S0005w0468	0703_21_12
BAC009S0005w0469	0703_21_13
BAC009S0005w0470	0703_21_14
BAC009S0005w0471	0703_21_15
BAC009S0005w0472	0703_21_2
BAC009S0005w0473	0703_21_3
BAC009S0005w0474	0703_21_4
BAC009S0005w0475	0703_21_5
BAC009S0005w0476	0703_21_6
BAC009S0005w0477	0703_21_7
BAC009S0005w0478	0703_21_8
BAC009S0005w0479	0703_21_9
BAC009S0005w0480	0703_22_1
BAC009S0005w0481	0703_22_2
BAC009S0005w0482	0703_22_3
BAC009S0005w0483	0703_22_4
BAC009S0005w0484	0703_23_1
BAC009S0005w0485	0703_23_10
BAC009S0005w0486	0703_23_11
BAC009S0005w0487	0703_23_12
BAC009S0005w0488	0703_23_2
BAC009S0005w0489	0703_23_3
BAC009S0005w0490	0703_23_4
BAC009S0005w0491	0703_23_5
BAC009S0005w0492	0703_23_6
BAC009S0005w0493	0703_23_7
BAC009S0005w0494	0703_23_8
BAC009S0005w0495	0703_23_9
BAC009S0005w0496	0703_24_1
BAC009S0005w0497	0703_24_2
BAC009S0005w0498	0703_24_3
BAC009S0005w0499	0703_24_4
BAC009S0005w0500	0703_24_5
BAC009S0005w0501	0703_24_6
BAC009S0005w0502	0703_24_7
BAC009S0005w0503	0703_24_8
BAC009S0005w0504	0703_24_9
BAC009S0005w0505	0703_25_1
BAC009S0005w0506	0703_25_10
BAC009S0005w0507	0703_25_2
BAC009S0005w0508	0703_25_3
BAC009S0005w0509	0703_25_4
BAC009S0005w0510	0703_25_5
BAC009S0005w0511	0703_25_6
BAC009S0005w0512	0703_25_7
BAC009S0005w0513	0703_25_8
BAC009S0005w0514	0703_25_9
BAC009S0005w0515	0703_26_1
BAC009S0005w0516	0703_26_2
BAC009S0005w0517	0703_26_3
BAC009S0005w0518	0703_26_4
BAC009S0005w0519	0703_26_5
BAC009S0005w0520	0703_26_6
BAC009S0005w0521	0703_26_7
BAC009S0005w0522	0703_27_1
BAC009S0005w0523	0703_27_10
BAC009S0005w0524	0703_27_11
BAC009S0005w0525	0703_27_12
BAC009S0005w0526	0703_27_2
BAC009S0005w0527	0703_27_3
BAC009S0005w0528	0703_27_4
BAC009S0005w0529	0703_27_5
BAC009S0005w0530	0703_27_6
BAC009S0005w0531	0703_27_7
BAC009S0005w0532	0703_27_8
BAC009S0005w0533	0703_27_9
BAC009S0005w0534	0703_28_1
BAC009S0005w0535	0703_28_2
BAC009S0005w0536	0703_28_3
BAC009S0005w0537	0703_28_4
BAC009S0005w0538	0703_28_5
BAC009S0005w0539	0703_29_1
BAC009S0005w0540	0703_29_10
BAC009S0005w0541	0703_29_11
BAC009S0005w0542	0703_29_12
BAC009S0005w0543	0703_29_13
BAC009S0005w0544	0703_29_14
BAC009S0005w0545	0703_29_15
BAC009S0005w0546	0703_29_16
BAC009S0005w0547	0703_29_17
BAC009S0005w0548	0703_29_18
BAC009S0005w0549	0703_29_19
BAC009S0005w0550	0703_29_2
BAC009S0005w0551	0703_29_20
BAC009S0005w0552	0703_29_21
BAC009S0005w0553	0703_29_22
BAC009S0005w0554	0703_29_23
BAC009S0005w0555	0703_29_24
BAC009S0005w0556	0703_29_25
BAC009S0005w0557	0703_29_26
BAC009S0005w0558	0703_29_27
BAC009S0005w0559	0703_29_28
BAC009S0005w0560	0703_29_29
BAC009S0005w0561	0703_29_3
BAC009S0005w0562	0703_29_30
BAC009S0005w0563	0703_29_31
BAC009S0005w0564	0703_29_32
BAC009S0005w0565	0703_29_33
BAC009S0005w0566	0703_29_4
BAC009S0005w0567	0703_29_5
BAC009S0005w0568	0703_29_6
BAC009S0005w0569	0703_29_7
BAC009S0005w0570	0703_29_8
BAC009S0005w0571	0703_29_9
BAC009S0005w0572	0703_30_1
BAC009S0005w0573	0703_30_10
BAC009S0005w0574	0703_30_11
BAC009S0005w0575	0703_30_12
BAC009S0005w0576	0703_30_13
BAC009S0005w0577	0703_30_14
BAC009S0005w0578	0703_30_15
BAC009S0005w0579	0703_30_16
BAC009S0005w0580	0703_30_17
BAC009S0005w0581	0703_30_18
BAC009S0005w0582	0703_30_19
BAC009S0005w0583	0703_30_2
BAC009S0005w0584	0703_30_20
BAC009S0005w0585	0703_30_21
BAC009S0005w0586	0703_30_22
BAC009S0005w0587	0703_30_23
BAC009S0005w0588	0703_30_24
BAC009S0005w0589	0703_30_25
BAC009S0005w0590	0703_30_26
BAC009S0005w0591	0703_30_27
BAC009S0005w0592	0703_30_28
BAC009S0005w0593	0703_30_29
BAC009S0005w0594	0703_30_3
BAC009S0005w0595	0703_30_30
BAC009S0005w0596	0703_30_31
BAC009S0005w0597	0703_30_32
BAC009S0005w0598	0703_30_33
BAC009S0005w0599	0703_30_34
BAC009S0005w0600	0703_30_35
BAC009S0005w0601	0703_30_36
BAC009S0005w0602	0703_30_37
BAC009S0005w0603	0703_30_38
BAC009S0005w0604	0703_30_39
BAC009S0005w0605	0703_30_4
BAC009S0005w0606	0703_30_40
BAC009S0005w0607	0703_30_41
BAC009S0005w0608	0703_30_42
BAC009S0005w0609	0703_30_43
BAC009S0005w0610	0703_30_44
BAC009S0005w0611	0703_30_45
BAC009S0005w0612	0703_30_46
BAC009S0005w0613	0703_30_47
BAC009S0005w0614	0703_30_48
BAC009S0005w0615	0703_30_49
BAC009S0005w0616	0703_30_5
BAC009S0005w0617	0703_30_50
BAC009S0005w0618	0703_30_51
BAC009S0005w0619	0703_30_52
BAC009S0005w0620	0703_30_53
BAC009S0005w0621	0703_30_54
BAC009S0005w0622	0703_30_55
BAC009S0005w0623	0703_30_56
BAC009S0005w0624	0703_30_57
BAC009S0005w0625	0703_30_58
BAC009S0005w0626	0703_30_59
BAC009S0005w0627	0703_30_6
BAC009S0005w0628	0703_30_60
BAC009S0005w0629	0703_30_61
BAC009S0005w0630	0703_30_62
BAC009S0005w0631	0703_30_63
BAC009S0005w0632	0703_30_64
BAC009S0005w0633	0703_30_65
BAC009S0005w0634	0703_30_66
BAC009S0005w0635	0703_30_67
BAC009S0005w0636	0703_30_68
BAC009S0005w0637	0703_30_69
BAC009S0005w0638	0703_30_7
BAC009S0005w0639	0703_30_70
BAC009S0005w0640	0703_30_71
BAC009S0005w0641	0703_30_8
BAC009S0005w0642	0703_30_9
BAC009S0005w0643	0704_16_1
BAC009S0005w0644	0704_16_10
BAC009S0005w0645	0704_16_11
BAC009S0005w0646	0704_16_12
BAC009S0005w0647	0704_16_13
BAC009S0005w0648	0704_16_14
BAC009S0005w0649	0704_16_15
BAC009S0005w0650	0704_16_16
BAC009S0005w0651	0704_16_17
BAC009S0005w0652	0704_16_18
BAC009S0005w0653	0704_16_19
BAC009S0005w0654	0704_16_2
BAC009S0005w0655	0704_16_20
BAC009S0005w0656	0704_16_21
BAC009S0005w0657	0704_16_22
BAC009S0005w0658	0704_16_3
BAC009S0005w0659	0704_16_4
BAC009S0005w0660	0704_16_5
BAC009S0005w0661	0704_16_6
BAC009S0005w0662	0704_16_7
BAC009S0005w0663	0704_16_8
BAC009S0005w0664	0704_16_9
BAC009S0005w0665	0704_17_1
BAC009S0005w0666	0704_17_2
BAC009S0005w0667	0704_17_3
BAC009S0005w0668	0704_17_4
BAC009S0005w0669	0704_17_5
BAC009S0005w0670	0704_18_1
BAC009S0005w0671	0704_18_10
BAC009S0005w0672	0704_18_11
BAC009S0005w0673	0704_18_12
BAC009S0005w0674	0704_18_2
BAC009S0005w0675	0704_18_3
BAC009S0005w0676	0704_18_4
BAC009S0005w0677	0704_18_5
BAC009S0005w0678	0704_18_6
BAC009S0005w0679	0704_18_7
BAC009S0005w0680	0704_18_8
BAC009S0005w0681	0704_18_9
BAC009S0005w0682	0704_19_1
BAC009S0005w0683	0704_19_10
BAC009S0005w0684	0704_19_11
BAC009S0005w0685	0704_19_12
BAC009S0005w0686	0704_19_13
BAC009S0005w0687	0704_19_14
BAC009S0005w0688	0704_19_15
BAC009S0005w0689	0704_19_2
BAC009S0005w0690	0704_19_3
BAC009S0005w0691	0704_19_4
BAC009S0005w0692	0704_19_5
BAC009S0005w0693	0704_19_6
BAC009S0005w0694	0704_19_7
BAC009S0005w0695	0704_19_8
BAC009S0005w0696	0704_19_9
BAC009S0005w0697	0704_20_1
BAC009S0005w0698	0704_20_10
BAC009S0005w0699	0704_20_11
BAC009S0005w0700	0704_20_12
BAC009S0005w0701	0704_20_13
BAC009S0005w0702	0704_20_14
BAC009S0005w0703	0704_20_15
BAC009S0005w0704	0704_20_16
BAC009S0005w0705	0704_20_17
BAC009S0005w0706	0704_20_18
BAC009S0005w0707	0704_20_19
BAC009S0005w0708	0704_20_2
BAC009S0005w0709	0704_20_20
BAC009S0005w0710	0704_20_21
BAC009S0005w0711	0704_20_22
BAC009S0005w0712	0704_20_23
BAC009S0005w0713	0704_20_24
BAC009S0005w0714	0704_20_25
BAC009S0005w0715	0704_20_26
BAC009S0005w0716	0704_20_27
BAC009S0005w0717	0704_20_28
BAC009S0005w0718	0704_20_29
BAC009S0005w0719	0704_20_3
BAC009S0005w0720	0704_20_30
BAC009S0005w0721	0704_20_31
BAC009S0005w0722	0704_20_32
BAC009S0005w0723	0704_20_33
BAC009S0005w0724	0704_20_34
BAC009S0005w0725	0704_20_35
BAC009S0005w0726	0704_20_36
BAC009S0005w0727	0704_20_37
BAC009S0005w0728	0704_20_38
BAC009S0005w0729	0704_20_39
BAC009S0005w0730	0704_20_4
BAC009S0005w0731	0704_20_40
BAC009S0005w0732	0704_20_5
BAC009S0005w0733	0704_20_6
BAC009S0005w0734	0704_20_7
BAC009S0005w0735	0704_20_8
BAC009S0005w0736	0704_20_9
BAC009S0005w0737	0704_21_1
BAC009S0005w0738	0704_21_10
BAC009S0005w0739	0704_21_11
BAC009S0005w0740	0704_21_12
BAC009S0005w0741	0704_21_13
BAC009S0005w0742	0704_21_14
BAC009S0005w0743	0704_21_15
BAC009S0005w0744	0704_21_16
BAC009S0005w0745	0704_21_17
BAC009S0005w0746	0704_21_18
BAC009S0005w0747	0704_21_19
BAC009S0005w0748	0704_21_2
BAC009S0005w0749	0704_21_20
BAC009S0005w0750	0704_21_21
BAC009S0005w0751	0704_21_22
BAC009S0005w0752	0704_21_3
BAC009S0005w0753	0704_21_4
BAC009S0005w0754	0704_21_5
BAC009S0005w0755	0704_21_6
BAC009S0005w0756	0704_21_7
BAC009S0005w0757	0704_21_8
BAC009S0005w0758	0704_21_9
BAC009S0005w0759	0704_22_1
BAC009S0005w0760	0704_22_10
BAC009S0005w0761	0704_22_11
BAC009S0005w0762	0704_22_2
BAC009S0005w0763	0704_22_3
BAC009S0005w0764	0704_22_4
BAC009S0005w0765	0704_22_5
BAC009S0005w0766	0704_22_6
BAC009S0005w0767	0704_22_7
BAC009S0005w0768	0704_22_8
BAC009S0005w0769	0704_22_9
BAC009S0005w0770	0704_23_1
BAC009S0005w0771	0704_23_10
BAC009S0005w0772	0704_23_11
BAC009S0005w0773	0704_23_12
BAC009S0005w0774	0704_23_13
BAC009S0005w0775	0704_23_14
BAC009S0005w0776	0704_23_15
